sub_title_id,all_vv,platform_vv,vv_share,week_start_date,week_end_date,target_week_start_date,target_week_end_date,popularity_tag
1971000720,611,63467800,0.00096269,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1631,611,63467800,0.00096269,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000044265,611,63467800,0.00096269,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000231728,610,63467800,0.00096112,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001420,610,63467800,0.00096112,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003105,609,63467800,0.00095954,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000109400,609,63467800,0.00095954,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003042,608,63467800,0.00095797,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260026997,608,63467800,0.00095797,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260080318,608,63467800,0.00095797,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003704,608,63467800,0.00095797,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000066865,607,63467800,0.00095639,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000164507,605,63467800,0.00095324,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007692,605,63467800,0.00095324,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971117949,605,63467800,0.00095324,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971004462,605,63467800,0.00095324,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
13495,604,63467800,0.00095166,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971000850,604,63467800,0.00095166,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000063879,603,63467800,0.00095009,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000087353,603,63467800,0.00095009,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971006147,603,63467800,0.00095009,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000069260,602,63467800,0.00094851,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000158440,602,63467800,0.00094851,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971311557,602,63467800,0.00094851,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000041474,600,63467800,0.00094536,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260148472,600,63467800,0.00094536,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000101673,600,63467800,0.00094536,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000155008,600,63467800,0.00094536,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971002312,599,63467800,0.00094379,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260065445,599,63467800,0.00094379,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003071,597,63467800,0.00094063,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260114873,597,63467800,0.00094063,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
5553,597,63467800,0.00094063,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001080,597,63467800,0.00094063,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003592,597,63467800,0.00094063,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007835,597,63467800,0.00094063,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
11021,597,63467800,0.00094063,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260116839,597,63467800,0.00094063,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
14358,596,63467800,0.00093906,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271414812,595,63467800,0.00093748,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271426790,594,63467800,0.00093591,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271499407,594,63467800,0.00093591,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971001727,594,63467800,0.00093591,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971000602,594,63467800,0.00093591,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260040109,594,63467800,0.00093591,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007192,593,63467800,0.00093433,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007474,593,63467800,0.00093433,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1271455958,593,63467800,0.00093433,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971003550,593,63467800,0.00093433,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971007371,592,63467800,0.00093276,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1260114861,592,63467800,0.00093276,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1971005144,591,63467800,0.00093118,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000153482,591,63467800,0.00093118,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000070714,590,63467800,0.00092961,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
1000109415,589,63467800,0.00092803,1/26/26,2/1/26,2/2/26,2/8/26,Negligible
